id_item,link,name,brand,img,cate1,cate2
30535,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/10/f130904105517219672(0).jpg,[토니모리] 토니네일 젤광 (GL17 화이트에나멜),[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/30535?page=145,NAIL,네일폴리쉬
28086,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130112579934449128(0).jpg,[토니모리] 미스터찰리의 팔자라인 패치,[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/28086?page=289,SKINCARE,마스크팩
28085,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130112560043673916(0).jpg,[부르조아] 원 세컨드 네일 - T7 루즈 세리즈,[부르조아],http://getitbeauty.m.tving.com/Product/ProductView/28085?page=289,NAIL,네일폴리쉬
28084,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130111788214809739(0).jpg,[어퓨] 오로라 네일 터치 PK01,[어퓨],http://getitbeauty.m.tving.com/Product/ProductView/28084?page=289,NAIL,네일폴리쉬
28083,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130111783329153313(0).jpg,[스킨푸드] 네일비타 알파 ARE01 과꽃,[스킨푸드],http://getitbeauty.m.tving.com/Product/ProductView/28083?page=289,NAIL,네일폴리쉬
28082,http://img.lifestyler.co.kr/uploads/channel/program/product/2015/04/f130747814495161301(0).jpg,[샤넬] 르베르니 (519 ROSE EXUBERANT),[샤넬],http://getitbeauty.m.tving.com/Product/ProductView/28082?page=289,NAIL,네일폴리쉬
28081,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130113230346248750(0).jpg,[토니모리] 인텐스 케어 스네일 앰플,[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/28081?page=289,SKINCARE,스킨케어 세트
28080,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130111655926052500(0).jpg,[토니모리] 수분 광채 수분 폭탄 수면팩,[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/28080?page=289,SKINCARE,수면팩
28079,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130111654849177500(0).jpg,[토니모리] 인텐스케어 스네일 아이마스크 점보,[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/28079?page=289,SKINCARE,마스크팩
28078,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130111653307302500(0).jpg,[토니모리] 체인징유 네일패치,[토니모리],http://getitbeauty.m.tving.com/Product/ProductView/28078?page=289,NAIL,큐티클/영양
28074,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130107466446208750(0).jpg,[엘르걸] 치어 미 업 립글로스,[엘르걸],http://getitbeauty.m.tving.com/Product/ProductView/28074?page=289,MAKEUP,립글로스
28073,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/08/f130220518197807500(0).jpg,[식물나라] 더 풍성한 스노우 폼,[식물나라],http://getitbeauty.m.tving.com/Product/ProductView/28073?page=289,SKINCARE,클렌징폼/비누
28072,http://img.lifestyler.co.kr/uploads/channel/program/product/2013/04/f130107216277146250(0).jpg,[바비리스] 미라컬,[바비리스],http://getitbeauty.m.tving.com/Product/ProductView/28072?page=289,ETC,헤어고데기
33264,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131695237711892839(0).png,[포레오] 루나 미니2,[포레오],http://getitbeauty.m.tving.com/Product/ProductView/33264?page=1,ETC,기타 소품
33263,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131693020083265362(0).png,[포레오] UFO,[포레오],http://getitbeauty.m.tving.com/Product/ProductView/33263?page=1,ETC,기타 소품
33259,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692909852178757(0).png,[브이디엘] 퍼펙팅 래스트 파운데이션,[브이디엘],http://getitbeauty.m.tving.com/Product/ProductView/33259?page=1,MAKEUP,파운데이션
33258,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692908861728408(0).png,[오렌즈] 헤이즐 골드,[오렌즈],http://getitbeauty.m.tving.com/Product/ProductView/33258?page=1,ETC,기타 소품
33256,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692906931528035(0).png,[어반디케이] 올 나이터 메이크업 세팅 스프레이,[어반디케이],http://getitbeauty.m.tving.com/Product/ProductView/33256?page=1,MAKEUP,메이크업픽서
33255,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692904620373220(0).png,[어반디케이] 네이키드2 아이섀도우 팔레트,[어반디케이],http://getitbeauty.m.tving.com/Product/ProductView/33255?page=1,MAKEUP,아이섀도
33254,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692904101669895(0).png,[맥] 새틴 립스틱 #모카,[맥],http://getitbeauty.m.tving.com/Product/ProductView/33254?page=1,MAKEUP,립스틱
33253,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692903558786415(0).png,[슈에무라] 루즈 언리미티드 슈프림 마뜨 #BG943,[슈에무라],http://getitbeauty.m.tving.com/Product/ProductView/33253?page=1,MAKEUP,립스틱
33252,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692902866765979(0).png,[맥] PRO LONGWEAR PAINT POT #LAYIN’ LOW,[맥],http://getitbeauty.m.tving.com/Product/ProductView/33252?page=1,MAKEUP,아이섀도
33251,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692902368966788(0).png,[디어렌즈] 퀸유럽-브라운 렌즈,[디어렌즈],http://getitbeauty.m.tving.com/Product/ProductView/33251?page=1,ETC,기타 소품
33249,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692901358392310(0).png,[에스티로더] 더블웨어 워터프루프 익스트림 컨실러 #미...,[에스티로더],http://getitbeauty.m.tving.com/Product/ProductView/33249?page=1,MAKEUP,컨실러
33248,http://img.lifestyler.co.kr/uploads/channel/program/product/2018/04/f131692900780096603(0).png,[맥] 피그먼트 / 리틀 맥 #코퍼스파클,[맥],http://getitbeauty.m.tving.com/Product/ProductView/33248?page=1,MAKEUP,펄파우더
32163,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131352368813441037(0).png,[바닐라코] 플레이 바디 쉬머 밤,[바닐라코],http://getitbeauty.m.tving.com/Product/ProductView/32163?page=73,BODY,바디밤
32162,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131352368363690154(0).png,[메이블린 뉴욕] 핏 미 컨실러 #20 SAND SABLE,[메이블린 뉴욕],http://getitbeauty.m.tving.com/Product/ProductView/32162?page=73,MAKEUP,컨실러
32161,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131352367856062900(0).png,[아리따움 ] 모디 풋 필링 마스크,[아리따움 ],http://getitbeauty.m.tving.com/Product/ProductView/32161?page=73,BODY,풋크림
32160,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131352367338607583(0).png,[이지피트] 발세척 슬리퍼,[이지피트],http://getitbeauty.m.tving.com/Product/ProductView/32160?page=73,BODY,풋크림
32157,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347356358882124(0).png,[더샘] 실크 헤어 스타일 픽스 원미닛 섀도 (블랙 ...,[더샘],http://getitbeauty.m.tving.com/Product/ProductView/32157?page=73,HAIR,헤어스타일링
32156,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347355880271056(0).png,[마몽드] 팡팡 헤어 섀도 (동안 헤어/라이트 브라운),[마몽드],http://getitbeauty.m.tving.com/Product/ProductView/32156?page=73,HAIR,헤어스타일링
32155,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347355428336159(0).png,[더페이스샵] 퀵 헤어 퍼프 (다크 브라운/내추럴 브라운),[더페이스샵],http://getitbeauty.m.tving.com/Product/ProductView/32155?page=73,HAIR,헤어스타일링
32154,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347354970785226(0).png,[려] 헤어 쿠션 (짙은 갈색/자연 갈색),[려],http://getitbeauty.m.tving.com/Product/ProductView/32154?page=73,HAIR,헤어스타일링
32153,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347354499662206(0).png,[로벡틴] 스킨 이센셜즈 UV 쉴드 틴티드 선크림,[로벡틴],http://getitbeauty.m.tving.com/Product/ProductView/32153?page=73,SKINCARE,자외선차단제
32152,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/04/f131357582141875653(0).png,[로벡틴] 스킨 이센셜즈 액티베이팅 트리트먼트 로션,[로벡틴],http://getitbeauty.m.tving.com/Product/ProductView/32152?page=73,SKINCARE,스킨/토너
32151,http://img.lifestyler.co.kr/uploads/channel/program/product/2017/03/f131347353652888778(0).png,[이브롬] 클렌징크림&손수건,[이브롬],http://getitbeauty.m.tving.com/Product/ProductView/32151?page=73,SKINCARE,클렌징 밤
